GMC|Yukon|III (GMT900)|2006|2014|Внедорожник 5 дв.|6.0|вариатор|332|гибрид|2e615aefc
GMC|Yukon|III (GMT900)|2006|2014|Внедорожник 5 дв.|6.2|автомат|385|бензин|2e615aefc
GMC|Yukon|IV (GMT K2UG)|2014|2020|Внедорожник 5 дв. XL|5.3|автомат|355|бензин|33df989b2
GMC|Yukon|IV (GMT K2UG)|2014|2020|Внедорожник 5 дв. XL|6.2|автомат|420|бензин|33df989b2
GMC|Yukon|IV (GMT K2UG)|2014|2020|Внедорожник 5 дв.|5.3|автомат|355|бензин|680938711
GMC|Yukon|IV (GMT K2UG)|2014|2020|Внедорожник 5 дв.|6.2|автомат|420|бензин|680938711
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв. XL|3.0|автомат|282|дизель|1d02a78e7
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв. XL|5.3|автомат|360|бензин|1d02a78e7
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв. XL|6.2|автомат|426|бензин|1d02a78e7
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв.|3.0|автомат|282|дизель|d6e4aaf19
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв.|5.3|автомат|360|бензин|d6e4aaf19
GMC|Yukon|V|2020|н.в.|Внедорожник 5 дв.|6.2|автомат|426|бензин|d6e4aaf19
